; empty lines and lines starting with semicolon or dash # are completely ignored
; first row and col are rulers for editor and are ignored
; first character in cell is overlay ID, second character in cell is ground ID
; size rows : cols

size:  24 : 32

spawn: 1,1 : 0,31 : 23,31: 23,0: 1,13 : 23,16

map:
XY 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
00 +C -C -C -C +C 00 0W 00 00 00 00 +0 -0 -0 -0 +0 00 00 00 00 00 00 0W 0W 0W 0W 00 00 00 00 0C 0C
01 |C 0C 0C 0C 00 00 BW 00 00 00 05 |0 00 00 00 |0 00 00 00 00 00 00 0W 0W 00 00 00 00 00 00 0C 0C
02 |C 0C 0C 0C 00 00 BW 00 00 00 00 +0 00 00 00 +3 00 00 00 00 00 00 00 0W 05 0C 0C 0C 0C 0C 0C 00
03 |C 0C 0C 0C |C 00 0W 00 00 01 00 00 00 06 00 00 00 00 00 0C 0C 0C 0C 0C 0C 0C 00 00 00 02 00 00
04 +C 00 00 -C +C 05 0W 0W 00 00 00 00 00 00 00 00 00 00 00 0C 00 00 00 00 00 00 00 00 00 00 00 00
05 |3 00 00 00 00 00 00 0W 00 00 00 +0 00 00 00 +0 00 00 0C 0C 0C 00 00 00 00 00 00 00 00 00 00 00
06 |0 00 00 00 00 00 00 0W 0W 00 00 |0 00 00 00 |0 00 00 0C 0C 0C 00 00 00 00 00 00 00 05 00 00 00
07 +C -C +C 00 00 00 00 00 0W 00 00 +4 -0 -0 -0 +0 00 00 0C 0C 0C 00 0W 00 00 0W 0W 00 00 00 00 00
08 00 00 02 00 00 00 00 00 0W 00 00 00 00 00 00 00 00 00 00 00 00 0W 0W 0W bW 0W 0W 0W 00 00 00 00
09 00 00 00 00 00 00 00 00 BW 00 00 00 00 02 00 00 00 00 00 00 0W 0W 0W 00 00 00 0W 0W 00 00 03 00
10 00 00 00 00 00 00 00 00 BW 00 0W 00 00 00 00 b7 b0 00 0W 0W 0W 0W 0W 00 00 00 0W 0W 00 00 00 00
11 00 00 04 00 00 00 00 0W 0W 0W 0W 0W 0W 0W 0W bW bW 0W 0W 0W 0W 0W 0W 00 00 0W 0W 0W 00 00 00 00
12 00 00 00 00 00 00 00 00 0W 0W 0W 0W 0W 0W 0W b0 bW 0W 0W 0W 0W 0W 0W 0W bW 0W 0W 0W 0W 00 00 00
13 00 00 00 00 00 00 00 00 00 06 0W 0W 0W 00 00 b0 b0 00 0W 02 00 06 00 00 00 00 00 0W 0W 00 00 00
14 00 00 01 00 00 00 00 00 00 00 0W 0W 0W 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 0W bW bW 0W
15 00 00 00 00 0C -C -C +C 00 00 00 0W 00 00 00 00 00 00 00 00 +0 -0 -0 -0 -0 +0 00 00 00 00 00 00
16 00 00 00 00 0C 0C 0C |C 00 00 00 0W 00 00 00 00 00 02 00 00 |0 00 00 00 00 |0 00 00 00 00 00 00
17 04 00 00 00 |C 0C 0C |C 00 00 00 0W 00 00 00 00 00 00 00 00 |0 00 00 00 04 |0 00 00 00 00 00 00
18 00 00 07 00 |C 0C 0C 0C 00 00 00 0W 00 00 00 00 00 00 00 00 +0 00 00 00 00 +0 00 00 00 00 00 00
19 00 00 00 00 +C -C -C +C 00 00 00 BW 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
20 00 00 00 00 00 00 00 00 00 00 00 BW 00 00 00 00 00 00 00 00 +0 00 00 00 00 +0 00 00 00 00 01 00
21 00 02 00 00 00 00 00 00 00 00 00 0W 0W 00 00 01 00 00 00 00 |0 00 00 00 00 |0 00 00 00 00 00 00
22 0C 0C 00 0W 00 00 00 00 00 00 00 0W 0W 0W 0W 00 00 00 00 00 |3 00 00 00 00 |0 00 00 07 00 0C 0C
23 0C 0C 0W 0W 0W 0W 00 03 00 00 0W 0W 0W 0W 0W 00 00 00 00 00 +0 -0 -0 -0 -0 +0 00 00 00 00 0C 0C
